name,cpu,ram,gpu,storage,screen_size,screen_resolution,screen_tech,battery,os,color,price,rating,review_text
Laptop ASUS ROG Strix G16 G615JMR-S5155W,"Intel Core i7 14650HX 2.2 GHz (30MB Cache, up to 5.2 GHz, 16 lõi, 24 luồng)",2x SO-DIMM (Tối đa 64GB),"NVIDIA GeForce RTX 5060 8GB GDDR7
Intel UHD Graphics","1TB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, tối đa 2TB)",16 inches,2560 x 1600 (WQXGA),"Độ sáng 500nits
Độ phủ màu DCI-P3 100%
Màn hình chống chói
G-Sync
ROG Nebula Display
Dolby Vision HDR
ROG intelligent cooling","90WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home,Xám,44.490.000₫,,
Laptop ASUS Vivobook S16 S5606CA-RI171WS,"Intel Core Ultra 7 255H 2.0 GHz (24MB Cache, up to 5.1 GHz, 16 lõi, 16 luồng); Intel AI Boost NPU up to 13TOPS",LPDDR5X Onboard,Intel Arc Graphics,512GB M.2 NVMe PCIe 4.0 SSD,16 inches,2880 x 1800 pixels,"Độ sáng 400nits
Độ sáng tối đa 600nits HDR
Độ phủ màu 100% DCI-P3
Ánh xạ gam màu
HDR True Black 600
1.07 tỷ màu
Ít hơn 70% ánh sáng xanh có hại
TÜV Rheinland","75WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,Xanh,27.990.000₫,,
Laptop ASUS Vivobook 15 OLED A1505VA-L1688W,"Intel Core i7-13620H 2.4 GHz (24MB Cache, up to 4.9 GHz, 10 lõi, 16 luồng)",2 khe (8GB DDR4 on board + 8GB DDR4 SO-DIMM),Intel UHD Graphics,512GB M.2 NVMe PCIe 4.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),"Thời gian phản hồi 0.2ms
Độ sáng tối đa 600nits HDR
Độ phủ màu 100% DCI-P3
Gamut mapping
HDR True Black 600
1.07 tỷ màu
Giảm 70% ánh sáng xanh có hại
Được chứng nhận bởi TÜV Rheinland
Màn hình chăm sóc mắt SGS","50WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,Bạc,19.190.000₫,,
Laptop ASUS Gaming V16 V3607VM-RP044W,"Intel Core 7 240H 2.5 GHz (24MB Cache, up to 5.2 GHz, 10 lõi, 16 luồng)","2 khe (1x 16GB, nâng cấp tối đa 32GB)","NVIDIA GeForce RTX 5060 8GB GDDR7
Intel Graphics",1TB M.2 NVMe PCIe 4.0 SSD,16 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits
Độ phủ màu 45% NTSC
Màn hình chống chói","63WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,Đen,33.990.000₫,,
Laptop ASUS ROG Flow Z13 GZ302EA-RU145WS,"AMD Ryzen AI MAX+ 395 3.0GHz (80MB Cache, up to 5.1GHz, 16 lõi, 32 luồng)",LPDDR5X 8000 On board,AMD Radeon Graphics,1TB PCIe 4.0 NVMe M.2 SSD (2230),13.4 inches,2560 x 1600 (WQXGA),"Độ sáng 500nits
Độ phủ màu DCI-P3 100%
ROG Nebula Display
Support Dolby Vision HDR","70WHrs, 4S1P, 4-cell Li-ion
Sạc lại từ 0-50% trong 30 phút",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,Đen,86.990.000₫,,
Laptop ASUS Vivobook Go 15 E1504GA-BQ1141W,"Intel Core i3-N305 1.8 GHz (6MB Cache, up to 3.8 GHz, 8 lõi, 8 luồng)",DDR4 Onboard,Intel UHD Graphics,256G UFS 2.1,15.6 inches,1920 x 1080 pixels (FullHD),"Độ sáng 250nits
Độ phủ màu 45% NTSC
Màn hình chống chói","42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,Bạc,9.990.000₫,,
Laptop ASUS Vivobook 16 A1607QA-MB067WS,"Snapdragon X X1 26 100 (30MB Cache, up to 2.97GHz, 8 lõi, 8 luồng)",LPDDR5X Onboard,"Qualcomm Adreno GPU
Tiến trình chip mới nên có thể không kết nối được với các thiết bị có driver cũ",512GB M.2 NVMe PCIe 4.0 SSD,16 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits
Độ phủ màu 45% NTSC
Màn hình chống chói","50WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,Bạc,16.290.000₫,,
Laptop ASUS Gaming V16 V3607VH-RP025W,"Intel Core 7 240H 2.5 GHz (24MB Cache, up to 5.2 GHz, 10 lõi, 16 luồng)",Có thể nâng cấp; Cần tháo vỏ dưới/trên,"NVIDIA GeForce RTX 5050 8GB GDDR7
Intel Graphics",512GB M.2 NVMe PCIe 4.0 SSD,16 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 45% NTSC","63WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,Đen,26.990.000₫,,
Laptop ASUS Zenbook A14 UX3407QA-QD299WS,"Snapdragon X X1 26 100 (30MB Cache, up to 2.97GHz, 8 lõi, 8 luồng)",Onboard,"Qualcomm Adreno GPU
Tiến trình chip mới nên có thể không kết nối được với các thiết bị có driver cũ",512GB M.2 NVMe PCIe 4.0 SSD,14 inches,1920 x 1200 pixels (WUXGA),"Thời gian phản hồi 0.2ms
Độ sáng 400nits
Độ sáng tối đa 600nits HDR
Độ phủ màu 100% DCI-P3
HDR True Black 600
1.07 tỷ màu
Giảm 70% ánh sáng xanh có hại
TÜV Rheinland-certified
Màn hình chăm sóc mắt SGS","70WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,Be,27.490.000₫,,
Laptop ASUS Vivobook S16 S3607CA-SH083WS,"Intel Core Ultra 7 255H 2.0 GHz (24MB Cache, up to 5.1 GHz, 16 lõi, 16 luồng)",Có thể nâng cấp; Cần tháo vỏ dưới/trên,Intel Arc Graphics,512GB M.2 NVMe PCIe 4.0 SSD,16 inches,1920 x 1200 pixels,"Độ sáng 300 nits
Độ sáng tối đa 500 nits
Độ phủ màu 95% DCI-P3
Tỷ lệ tương phản 1.000.000:1
1.07 tỷ màu
Màn hình chống chói
Ánh sáng xanh thấp, giảm 70% ánh sáng xanh có hại","70WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,Xám,25.490.000₫,,
Laptop ASUS Vivobook Go 15 E1504FA-BQ1150W,"AMD Ryzen 5 7520U 2.8GHz (6MB Cache, up to 4.3GHz, 4 lõi, 8 luồng)",LPDDR5 Onboard,AMD Radeon Graphics,512GB M.2 NVMe PCIe 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),"Độ sáng 250nits
Độ phủ màu 45% NTSC
Màn hình chống chói
TÜV Rheinland-certified","42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,Bạc,13.990.000₫,,
Laptop ASUS Vivobook 14 X1404VA-EB355W,"Intel Core 7 150U 1.8 GHz (12MB Cache, up to 5.4 GHz, 10 lõi, 12 luồng)","2 khe (8GB DDR5 on board + 8GB DDR5 SO-DIMM, Có thể nâng cấp; Cần tháo vỏ dưới/trên)",Intel Graphics,512GB M.2 NVMe PCIe 4.0 SSD,14 inches,1920 x 1080 pixels (FullHD),"Độ sáng 250 nits
Độ phủ màu 45% NTSC
Bề mặt màn hình chống loá
Chứng nhận TÜV Rheinland","42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,Bạc,19.790.000₫,,
Laptop ASUS Vivobook 14 X1404VA-NK394W,"Intel Core i3-1315U 1.2 GHz (10MB Cache, up to 4.5 GHz, 6 lõi, 8 luồng)","8GB On board (Có thể nâng cấp, cần tháo vỏ dưới/trên)",Intel UHD Graphics,512GB M.2 NVMe PCIe 4.0 SSD,14 inches,1920 x 1080 pixels (FullHD),"Độ sáng 250nits
Độ phủ màu 45% NTSC
Màn hình chống chói
TÜV Rheinland-certified","42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,Bạc,11.990.000₫,5 sao/ (1 đánh giá),"Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | pin trâu, máy đẹp, hiệu năng mượt nếu sử dụng cho sinh viên và văn phòng"
Laptop ASUS ROG Zephyrus G14 GA403WM-QS051WS,"AMD Ryzen AI 9 HX 370 2.0GHz (36MB Cache, up to 5.1GHz, 12 lõi, 24 luồng)",LPDDR5X 7500 Onboard,"NVIDIA GeForce RTX 5060 8GB GDDR7
AMD Radeon Graphics","1TB PCIe 4.0 NVMe M.2 SSD (1 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, tối đa 2TB)",14 inches,2880 x 1800 pixels,"Độ sáng 500nits
Tỷ lệ tương phản 1000000:1
Độ phủ màu DCI-P3 100%
G-Sync / Adaptive-Sync
Màn hình Nebula ROG Nebula Display
Dolby Vision HDR
Tản nhiệt thông minh ROG","73WHrs, 4S1P, 4-cell Li-ion
Sạc lại từ 0-50% trong 30 phút",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,Xám,55.990.000₫,,
Laptop ASUS Vivobook 16X K3605VC-RP491W,"Intel Core i7-13620H 2.4 GHz (24MB Cache, up to 4.9 GHz, 10 lõi, 16 luồng)",2 khe (8GB DDR4 on board + 8GB DDR4 SO-DIMM),"NVIDIA GeForce RTX3050 4GB GDDR6
Intel UHD Graphics",512GB M.2 NVMe PCIe 4.0 SSD,16 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits
Độ phủ màu 45% NTSC
Màn hình chống chói
TÜV Rheinland","50WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,Đen,21.490.000₫,,
Laptop ASUS Zenbook 14 UM3406KA-PP590WS,"AMD Ryzen AI 7 350 2.0GHz (24MB Cache, up to 5.0GHz, 8 lõi, 16 luồng)",LPDDR5X Onboard,AMD Radeon Graphics,1TB M.2 NVMe PCIe 4.0 SSD,14 inches,2880 x 1800 pixels,"Độ sáng 400nits
Độ sáng cực đại 600nits HDR
Độ phủ màu 100% DCI-P3
Tỷ lệ tương phản 1.000.000:1
HDR True Black 600
1.07 tỷ màu
Ánh sáng xanh thấp ít hơn 70%
TÜV Rheinland
Màn hình chăm sóc mắt SGS","75WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,Đen,29.990.000₫,,
Laptop ASUS ROG Strix G16 G614PH-S5101W,"AMD Ryzen 9 8940HX 2.4GHz (80MB Cache, up to 5.3GHz, 16 lõi, 32 luồng)","2 khe (1 x 16GB, nâng cấp tối đa 64GB)","NVIDIA GeForce RTX 5050 8GB GDDR7
AMD Radeon Graphics","512GB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ cả SATA hoặc NVMe, tối đa 2TB)",16 inches,2560 x 1600 (WQXGA),"Độ sáng 500 nits
Tỷ lệ tương phản 1200:1
Độ phủ màu DCI-P3 100%
Màn hình chống chói
Công nghệ Adaptive-Sync G-Sync
Chứng nhận Pantone Validated
ROG Nebula Display
Dolby Vision HDR
Tản nhiệt ROG Intelligent Cooling","90WHrs, 4S1P, 4-cell Li-ion, Sạc từ 0-50% trong 30 phút",Windows 11 Home,Xám,40.990.000₫,,
Laptop ASUS TUF Gaming F16 FX608JHR-RV037W,"Intel Core i7 14650HX 2.2 GHz (30MB Cache, up to 5.2 GHz, 16 lõi, 24 luồng)","2 khe (1 x 16GB, nâng cấp tối đa 32GB)","NVIDIA GeForce RTX 5050 8GB GDDR7 115W (100W+15W)
Intel UHD Graphics","1TB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, tối đa 2TB)",16 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300 nits
Độ phủ màu NTSC 72.00%, SRGB 100.00%, Adobe 75.35%
Màn hình chống chói
G-Sync","90WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home,Xám,34.290.000₫,,
Laptop ASUS Vivobook S14 S3407VA-LY046W,"Intel Core i5-13420H 2.1 GHz (12MB Cache, up to 4.6 GHz, 8 lõi, 12 luồng)",2 khe (8GB DDR5 on board + 8GB DDR5 SO-DIMM,Intel UHD Graphics,512GB M.2 NVMe PCIe 4.0 SSD,14 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits
Độ phủ màu 45% NTSC
Màn hình chống chói
TÜV Rheinland-certified","70WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home,Bạc,17.990.000₫,5 sao/ (5 đánh giá),Cách phục vụ tốt || Cách phục vụ tốt || Cách phục vụ tốt || Hài lòng || Hài lòng
Laptop ASUS TUF Gaming A14 FA401KM-RG010WS,"AMD Ryzen AI 7 350 2.0GHz (24MB Cache, up to 5.0GHz, 8 lõi, 16 luồng)",2 x 16GB LPDDR5X 7500 on board,"NVIDIA GeForce RTX 5060 8GB GDDR7
AMD Radeon Graphics","1TB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, tối đa 2TB)",14 inches,2560 x 1600 (WQXGA),"Độ sáng 400nits
Tỷ lệ tương phản 1000:1
Độ phủ màu SRGB 100,00%
Màn hình chống chói
G-Sync","73WHrs, 4S1P, 4-cell Li-ion
Sạc lại từ 0-50% trong 30 phút",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,Xám,42.990.000₫,,
Laptop ASUS Zenbook 14 UX3405CA-PZ187WS,"Intel Core Ultra 5 225H 1.7 GHz (18MB Cache, up to 4.9 GHz, 14 lõi, 16 luồng)",LPDDR5X on board,Intel Arc Graphics,512GB M.2 NVMe PCIe 4.0 SSD,14 inches,2880 x 1800 pixels,"Thời gian phản hồi 0.2ms
Độ sáng 400nits
Độ sáng tối đa 500nits HDR
Độ phủ màu 100% DCI-P3
Gamut mapping
HDR True Black 500
1.07 tỷ màu
Giảm 70% ánh sáng xanh có hại
TÜV Rheinland-certified
Màn hình chăm sóc mắt SGS","75WHrs, 2S2P, 4-cell Li-ion",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,Xanh,28.490.000₫,,
Laptop ASUS Zenbook S 16 UM5606KA-RK127WS,"AMD Ryzen AI 7 350 2.0GHz (24MB Cache, up to 5.0GHz, 8 lõi, 16 luồng)",LPDDR5X Onboard,AMD Radeon Graphics,1TB M.2 NVMe PCIe 4.0 SSD,16 inches,2880 x 1800 pixels,"Thời gian phản hồi 0.2ms
Độ sáng 400nits
Độ sáng tối đa 500nits HDR
Độ phủ màu 100% DCI-P3
HDR True Black 500
1.07 tỷ màu
Giảm 70% ánh sáng xanh có hại
TÜV Rheinland-certified
SGS Eye Care Display","78WHrs, 2S2P, 4-cell Li-ion",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,Trắng,39.990.000₫,,
Laptop ASUS TUF Gaming F16 FX608JH-RV039W,"13th Gen Intel Core i5-13450HX 2.4 GHz (20M Cache, up to 4.6 GHz, 10 lõi: 6 P-cores and 4 E-cores)",2 khe (Nâng cấp tối đa 64GB),"NVIDIA GeForce RTX 5050 8GB GDDR7
Intel UHD Graphics","1TB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, tối đa 2TB)",16 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300
Tỷ lệ tương phản 1000:1
Độ phủ màu NTSC 72,00% / SRGB 100,00% / Adobe 75,35%
Màn hình chống chói
G-Sync","90WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home,Xám,30.990.000₫,,
Laptop ASUS TUF Gaming F16 FX607VJB-RL151W,"Intel Core 5 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 lõi, 12 luồng)",2 khe (nâng tối đa 64GB),"NVIDIA GeForce RTX 3050 6GB GDDR6
Intel Iris Xe Graphics","512GB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ cả SATA hoặc NVMe, tối đa 2TB)",16 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300 nits
Tỷ lệ tương phản 1000:1
Độ phủ màu NTSC 45%
Màn hình chống chói","56WHrs, 4S1P, 4-cell Li-ion
Sạc từ 0-50% trong 30 phút",Windows 11 Home,Xám,22.990.000₫,,
Laptop ASUS Gaming V16 V3607VU-RP216W,"Intel Core 7 240H 2.5 GHz (24MB Cache, up to 5.2 GHz, 10 lõi, 16 luồng)",Có thể nâng cấp; Cần tháo vỏ dưới/trên,"NVIDIA GeForce RTX 4050 6GB GDDR6 (194 AI TOPs)
Intel Graphics",512GB M.2 NVMe PCIe 4.0 SSD,16 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 45% NTSC","63WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,Đen,25.490.000₫,,
Laptop ASUS Vivobook S 16 S5606CA-RI114WS,"Intel Core Ultra 5 225H 1.7 GHz (18MB Cache, up to 4.9 GHz, 14 lõi, 16 luồng)",LPDDR5X Onboard,Intel Arc Graphics,512GB M.2 NVMe PCIe 4.0 SSD,16 inches,2880 x 1800 pixels,"Độ sáng 400nits
Độ sáng tối đa 600nits HDR
Độ phủ màu 100% DCI-P3
Gamut mapping
Display HDR True Black 600
1.07 tỷ màu
Giảm 70% ánh sáng xanh có hại
TÜV Rheinland-certified","75WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,Xanh,24.490.000₫,,
