name,cpu,ram,gpu,storage,screen_size,screen_resolution,screen_tech,battery,os,color,price,rating,review_text
Laptop HP 15-FD0305TU A2NL6PA,"Intel Core i3-1315U (lên đến 4,5 GHz với Công nghệ Intel Turbo Boost , bộ nhớ đệm L3 10 MB, 6 lõi, 8 luồng)",2 khe (1 x 8G),Intel UHD,SSD M.2 PCIe Thế hệ 4 NVMe 256 GB,15.6 inches,1920 x 1080 pixels (FullHD),"Độ phủ màu 45% NTSC, 62.5% sRGB
Độ sáng 250 nit","Pin Li-ion polymer 3 cell, công suất 41 Wh",Windows 11 Home Single Language,Vàng,11.190.000₫,5 sao/ (1 đánh giá),"Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | tư vấn nhiệt tình"
Laptop HP Gaming OMEN 16-AM0176TX BX9D3PA,"Intel Core Ultra 7 255H (up to 5.1 GHz with Intel Turbo Boost Technology, 24 MB L3 cache, 16 lõi, 16 luồng)",2 khe (2 x 8GB),"NVIDIA GeForce RTX 5060 (8 GB GDDR7 chuyên dụng)
Intel Arc 140T GPU",512 GB PCIe Gen4 NVMe M.2 SSD,16 inches,1920 x 1200 pixels (WUXGA),"Thời gian phản hồi 3 ms
Màn hình chống chói
Ánh sáng xanh thấp
Độ sáng 400 nit
Độ phủ màu 100% sRGB","6-cell, 83 Wh Li-ion polymer",Windows 11 Home Single Language,Đen,38.990.000₫,,
Laptop HP 245 G10 BG5U8PT,"AMD Ryzen 7 7730U (xung nhịp tăng tối đa lên đến 4,5 GHz, bộ nhớ đệm L3 16 MB, 8 lõi, 16 luồng)",1 x 16GB,AMD Radeon Graphics,512 GB PCIe NVMeTM SSD,14 inches,1920 x 1080 pixels (FullHD),"Độ phủ màu 45% NTSC
Độ sáng 250 nits","HP Long Life 3-cell, 41 Wh Li-ion",Windows 11 Home Single Language,Bạc,15.490.000₫,,
Laptop HP Pavilion 15-EG3094TU 8C5L5PA V2,"Intel Core i5 - 1335U (1.30 GHz, Turbo Boost 4.6 GHz, 10 lõi / 12 luồng, 12 MB)",2 khe (Máy nguyên bản 16GB),Intel Iris Xe Graphics,512 GB SSD NVMe PCIe,15.6 inches,1920 x 1080 pixels (FullHD),"Độ phủ màu 45% NTSC
Màn hình chống chói
Độ sáng 250 nits","3-cell Li-ion, 41 Wh",Windows 11 Home SL,Vàng,17.490.000₫,,
Laptop HP 14-EP0220TU B73VWPA,"Intel Core i3-1315U (up to 4.5 GHz with Intel Turbo Boost Technology, 10 MB L3 cache, 6 lõi, 8 luồng)",1 x 8 GB,Intel UHD Graphics,512 GB PCIe NVMeTM M.2 SSD,14 inches,1920 x 1080 pixels (FullHD),"Viền siêu mỏng
Màn hình chống chói
Độ sáng 250 nits
Độ phủ màu 62.5% sRGB","3-cell, 41 Wh Li-ion polymer
Bộ đổi nguồn AC thông minh 45 W",Windows 11 Home Single Language,Bạc,11.490.000₫,,
Laptop HP 14-EP1178TU C89ZRPA,Intel Core 5 120U (10 cores) - Max Turbo Frequency: 5.00 GHz,2 khe (2 x 8GB),Intel Graphics,1TB SSD PCIe (M.2 2280),14 inches,1920 x 1080 pixels (FullHD),Màn hình chống chói,3 Cell Int (41.04Wh),Windows 11 Home Single Language 64-bit,Bạc,16.990.000₫,,
Laptop HP 250 G9 AG2K7AT,Intel CoreTM i5-1235U (10 lõi) - Max Turbo Frequency: 4.40 GHz,2 khe (1x 16GB),Intel UHD Graphics,512GB SSD PCIe (M.2 2280),15.6 inches,1920 x 1080 pixels (FullHD),Màn hình chống chói,3 Cell Int (41.04Wh),Windows 11 Home Single Language 64-bit,Bạc,14.990.000₫,,
Laptop HP 15-FD0306TU A2NL7PA,"Intel Core i3-1315U (6 lõi / 8 luồng, 1.2 GHz, Up to 4.5 GHz, 10Mb Cache)","2 khe (2 x 4GB, tối đa 16GB)",Intel UHD Graphics,256GB SSD M.2 NVMe PCIe,15.6 inches,1920 x 1080 pixels (FullHD),"Màn hình chống chói
Độ sáng 250 nits
Độ phủ màu 45% NTSC","3-cell, 41 Wh Li-ion",Windows 11 Home,Bạc,11.190.000₫,,
Laptop HP Omnibook X Flip 14-FK0082AU BZ7N8PA,"AMD Ryzen AI 7 350 (up to 5.0 GHz max boost clock,16 MB L3 cache, 8 lõi,16 luồng)",LPDDR5x-7500 MT/s (onboard),AMD Radeon 860M Graphics,1 TB PCIe Gen4 NVMe M.2 SSD,14 inches,1920 x 1200 pixels (WUXGA),"Màn hình cảm ứng đa điểm
Kính phủ tràn cạnh edge-to-edge
Viền mỏng micro-edge
Kính Corning Gorilla Glass 3
Độ sáng 400 nits
Độ phủ màu 62.5% sRGB","3-cell, 59 Wh Li-ion polymer
Bộ đổi nguồn USB Type-C 65 W
Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút",Windows 11 Home Single Language + Office,Bạc,34.990.000₫,,
Laptop HP Pavilion X360 14-EK2017TU 9Z2V5PA,Intel Core 5 120U (10 lõi) - Max Turbo Frequency: 5.00 GHz,DDR4 3200MHz Onboard,,512GB SSD PCIe (M.2 2280),14 inches,1920 x 1080 pixels (FullHD),,3 Cell Int (43.3Wh),Windows 11 Home Single Language 64-bit,Bạc,20.990.000₫,,
Laptop HP Omnibook 7 Aero 13-BG1083AU BZ7R9PA,"AMD Ryzen AI 7 350 (up to 5.0 GHz max boost clock,16 MB L3 cache, 8 lõi, 16 luồng)",Onboard,AMD Radeon 860M Graphics,512 GB PCIe Gen4 NVMe M.2 SSD,13.3 inches,1920 x 1200 pixels (WUXGA),"Viền mỏng
Màn hình chống chói
Độ sáng 400 nits
Độ phủ màu 100% sRGB","3-cell, 43 Wh Li-ion polymer
65 W USB Type-C power adapter
Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút",Windows 11 Home Single Language + Office,Bạc,28.790.000₫,,
Laptop HP Omnibook 5 AI 16-AF1048TU BZ7Q9PA,Intel Core Ultra 5 225U (12 lõi) - Max Turbo Frequency: 4. 80 GHz,LPDDR5X/ 7467MHz Onboard,Intel Graphics,512GB SSD PCIe (M.2 2280),16 inches,1920 x 1200 pixels (WUXGA),Màn hình chống chói,3 Cell Int (59.16Wh),Windows 11 Home Single Language 64-bit + Office Home 2024,Bạc,21.690.000₫,,
Laptop HP Envy X360 14-FA0045AU A19BMPA,"AMD Ryzen 7 8840HS (up to 5.1 GHz max boost clock, 16 MB L3 cache, 8 lõi, 16 luồng)",LPDDR5-6400 MHz Onboard,AMD Radeon Graphics,1 TB PCIe Gen4 NVMe M.2 SSD,14 inches,2880 x 1800 pixels,"Thời gian phản hồi 0.2 ms
Corning Gorilla Glass NBT
Ánh sáng xanh thấp
SDR 400 nit
HDR 500 nit
Độ phủ màu 100% DCI-P3","3-cell, 59 Wh Li-ion polymer",Windows 11 Home Single Language,Bạc,31.790.000₫,,
Laptop HP 14-EP0110TU 8C5K9PA,Intel Core i7-1355U (10 lõi) - Max Turbo Frequency : 5.00 GHz,2 khe (2 x 8GB),Intel Iris Xe Graphics,512GB SSD PCIe (M.2 2280),14 inches,1920 x 1080 pixels (FullHD),Màn hình chống chói,3 Cell Int (41.04Wh),Windows 11 Home Single Language 64-bit,Bạc,18.990.000₫,,
Laptop HP Pavilion 15-EG3093TU 8C5L4PA,"Intel Core i5 - 1335U (1.30 GHz, Turbo Boost 4.6 GHz, 10 lõi / 12 luồng, 12 MB)",2 khe (nâng cấp tối đa 32GB),Intel Iris Xe Graphics,512 GB SSD NVMe PCIe,15.6 inches,1920 x 1080 pixels (FullHD),"Độ phủ màu 45% NTSC
Màn hình chống chói
Độ sáng 250 nits","3-cell Li-ion, 41 Wh",Windows 11 Home SL,Vàng,17.490.000₫,,
Laptop HP Omnibook X Flip 14-FK0092AU BZ7P5PA,AMD Ryzen AI 5 340 (6 x 2.00 GHz) - Max. Boost Clock: Up to 4.80 GHz,LPDDR5x-7500 MT/s (onboard),AMD Radeon 840M Graphics,512GB SSD PCIe (M.2 2280),14 inches,1920 x 1200 pixels (WUXGA),"Kính tràn viền
Viền mỏng micro-edge
Hỗ trợ bút stylus",3 Cell Int (59.16Wh),Windows 11 Home Single Language 64-bit + Office Home 2024,Bạc,25.990.000₫,,
Laptop HP Omnibook 5 16-AG1068AU BZ7T0PA,"AMD Ryzen AI 5 340 (up to 4.8 GHz max boost clock,16 MB L3 cache, 6 lõi,12 luồng)",LPDDR5x-7500 MT/s Onboard,AMD Radeon 840M Graphics,512 GB PCIe Gen4 NVMe M.2 SSD,16 inches,1920 x 1200 pixels (WUXGA),"Viền mỏng
Màn hình chống chói
Độ sáng 300 nits
Độ phủ màu 62.5% sRGB","3-cell, 59 Wh Li-ion polymer
Bộ đổi nguồn USB Type-C 65 W
Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút",Windows 11 Home + Office,Bạc,22.990.000₫,,
Laptop HP 15-FD0083TU 8D736PA,"Intel Core i7-1355U (lên đến 5,0 GHz với Công nghệ Intel Turbo Boost, bộ nhớ đệm L3 12 MB, 10 lõi, 12 luồng)",2 x 8 GB,Intel Iris Xe Graphics,512 GB PCIe NVMeTM M.2 SSD,15.6 inches,1920 x 1080 pixels (FullHD),"Độ phủ màu 45% NTSC
Độ sáng 250 nits
Màn hình chống chói
Hỗ trợ sạc pin nhanh: khoảng 50% trong 45 phút","3-cell, 41 Wh Li-ion polymer
Bộ đổi nguồn AC thông minh 45 W",Windows 11 Home Single Language,Bạc,18.990.000₫,,
Laptop HP OmniBook 7 14-FR0024TU C1MN0PA,"Intel Core Ultra 7 255H (lên đến 5,1 GHz với Công nghệ Intel Turbo Boost, bộ nhớ đệm L3 24 MB, 16 lõi, 16 luồng)",LPDDR5-5200 MT/s Onboard,Intel Arc 140T GPU,512 GB PCIe Gen4 NVMe M.2 SSD,14 inches,1920 x 1200 pixels (WUXGA),"Viền mỏng
Màn hình chống chói
Độ sáng 300 nits
Độ phủ màu 62.5% sRGB","4-cell, 68 Wh Li-ion polymer
Bộ đổi nguồn USB Type-C 65 W
Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút",Windows 11 Home Single Language + Office,Bạc,28.990.000₫,,
Laptop HP Gaming OMEN 16-AM0129TX BX9D1PA,"Intel Core Ultra 7 255H (up to 5.1 GHz with Intel Turbo Boost Technology, 24 MB L3 cache, 16 lõi, 16 luồng)",2 khe (2 x 16GB),NVIDIA GeForce RTX 5070 (8 GB GDDR7 chuyên dụng),512 GB PCIe Gen4 NVMe M.2 SSD,16 inches,1920 x 1200 pixels (WUXGA),"Thời gian phản hồi 3 ms
Màn hình chống chói
Ánh sáng xanh thấp
Độ sáng 400 nit
Độ phủ màu 100% sRGB","6-cell, 83 Wh Li-ion polymer",Windows 11 Home Single Language,Đen,43.990.000₫,,
Laptop HP Omnibook 5 AI 16-AF1046TU BZ7Q8PA,Intel Core Ultra 5 225U (12 lõi) - Max Turbo Frequency: 4. 80 GHz,LPDDR5X/ 7467MHz Onboard,Intel Graphics,512GB SSD PCIe (M.2 2280),16 inches,1920 x 1200 pixels (WUXGA),Màn hình chống chói,3 Cell Int (59.16Wh),Windows 11 Home Single Language 64-bit + Office Home 2024,Bạc,22.990.000₫,,
Laptop HP Envy x360 14-FA0093AU AY8U3PA,"AMD Ryzen 7 8840HS (up to 5.1 GHz max boost clock,16 MB L3 cache, 8 lõi,16 luồng)",Onboard,AMD Radeon Graphics,512 GB PCIe Gen4 NVMe M.2 SSD,14 inches,2880 x 1800 pixels,"Hỗ trợ cảm ứng đa điểm
Thời gian phản hồi 0.2 ms
Thiết kế tràn viền edge-to-edge
Micro-edge
Kính Corning Gorilla Glass NBT
Low Blue Light
Độ sáng SDR 400 nits
Độ sáng HDR 500 nits
Độ bao phủ màu 100% DCI-P3","3-cell, 59 Wh Li-ion polymer, 65 W",Windows 11 Home Single Language + Office,Bạc,31.990.000₫,,
Laptop HP 240 G9 AG2J7AT,Intel Core i5-1235U (10 lõi) - Max Turbo Frequency: 4.40 GHz,2 khe (1 x 16GB),Intel UHD Graphics,512GB SSD PCIe (M.2 2280),14 inches,1920 x 1080 pixels (FullHD),Màn hình chống chói,3 Cell Int (41.04Wh),Windows 11 Home Single Language 64-bit,Bạc,14.990.000₫,,
Laptop HP Victus 16-R0376TX AY8Z2PA,"Intel Core i7-13700HX (up to 5.0 GHz with Intel Turbo Boost Technology, 30 MB L3 cache,16 lõi, 24 luồng)",2 khe (2 x 8 GB),NVIDIA GeForce RTX 3050 Laptop GPU (6 GB GDDR6 dedicated),512 GB PCIe Gen4 NVMeTM M.2 SSD,16.1 inches,1920 x 1080 pixels (FullHD),"Độ phủ màu 100% sRGB
Độ sáng 300 nits
Thời gian phản hồi 7 ms
Ánh sáng xanh thấp","4-cell, 70 Wh Li-ion polymer
Bộ đổi nguồn AC thông minh 200 W
Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút",Windows 11 Home Single Language,Đen,24.990.000₫,,
Laptop HP 15-FD0237TU 9Q972PA,"Intel Core i5-1334U (up to 4.6 GHz with Intel Turbo Boost Technology, 12 MB L3 cache, 10 lõi, 12 luồng)",2 khe (2x4GB),Intel Iris Xe Graphics,512GB SSD,15.6 inches,1920 x 1080 pixels (FullHD),"Màn hình chống chói
Độ sáng 250 nits
Độ phủ màu 45% NTSC","3-cell, 41 Wh Li-ion polymer",Windows 11 Home Single Language,Bạc,13.990.000₫,,
Laptop HP Pavilion 15-EG3095TU 8C5L6PA V2,"Intel Core i5 - 1335U (1.30 GHz, Turbo Boost 4.6 GHz, 10 lõi / 12 luồng, 12 MB)",2 khe (Máy nguyên bản 16GB),Intel Iris Xe Graphics,512 GB SSD NVMe PCIe,15.6 inches,1920 x 1080 pixels (FullHD),"Độ phủ màu 45% NTSC
Màn hình chống chói
Độ sáng 250 nits","3-cell Li-ion, 41 Wh",Windows 11 Home SL,Bạc,17.490.000₫,,
Laptop HP 15-FD1063TU 9Z2Y1PA,"Intel Core Ultra 5 125H (lên đến 4,5 GHz với Công nghệ Intel Turbo Boost, bộ nhớ đệm L3 18 MB, 14 lõi, 18 luồng)","Máy nguyên bản 2 x 8GB, nâng cấp tối đa 32GB",Intel Graphics,512 GB PCIe NVMeTM M.2 SSD,15.6 inches,1920 x 1080 pixels (FullHD),"Độ sáng 300 nits
Độ phủ màu 62.5% sRGB","3-cell, 41 Wh Li-ion polymer
Hỗ trợ sạc pin nhanh: khoảng 50% trong 45 phút",Windows 11 Home Single Language,Vàng,16.990.000₫,,
Laptop HP Victus 16-S0136AX 9Q984PA,"AMD Ryzen 5 7640HS (tốc độ xung nhịp tăng tối đa lên đến 5,0 GHz, bộ nhớ đệm L3 16 MB, 6 lõi,12 luồng)",2 khe (2 x 16GB),NVIDIA GeForce RTX 3050 (GDDR6 6 GB chuyên dụng),Ổ SSD 512 GB PCIe Gen4 NVMeTM TLC M.2,16.1 inches,1920 x 1080 pixels (FullHD),"Độ phủ màu 45% NTSC
Độ sáng 250 nit
Chống lóa","4 cell, 70 Wh Li-ion polime
Bộ chuyển đổi nguồn điện AC thông minh 200 W
Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút
Thời lượng pin Lên đến 7 tiếng 45 phút",Windows 11 Home Single Language,Bạc,19.990.000₫,,
Laptop HP Victus 16-S0143AX 9Q990PA,"AMD Ryzen 5 7640HS (up to 5.0 GHz max boost clock, 16 MB L3 cache, 6 lõi, 12 luồng)",2 khe (2 x 16GB),NVIDIA GeForce RTX 4050 6 GB GDDR6,512 GB PCIe Gen4 NVMe Performance M.2 SSD,16.1 inches,1920 x 1080 pixels (FullHD),"Màn hình chống chói
Độ sáng 250 nits
Độ phủ màu 45% NTSC","4-cell, 70 Wh Li-ion polymer",Windows 11 Home Single Language,Đen,23.990.000₫,,
Laptop HP Envy X360 14-FA0096AU AY8U6PA,"AMD Ryzen 5 8640HS (tốc độ xung nhịp tăng tối đa lên đến 4,9 GHz, bộ nhớ đệm L3 16 MB, 6 lõi,12 luồng)",LPDDR5-6400 MT/s (tích hợp),AMD Radeon,SSD PCIe Thế hệ 4 NVMeTM M.2 1 TB,14 inches,2880 x 1800 pixels,"Độ phủ màu 100% DCI-P3
Độ sáng 500 nit
Thời gian phản hồi 0.2 ms
Hỗ trợ 1.07 tỷ màu (ở chế độ HDR)
Corning Gorilla Glass NBTTM
Ánh sáng xanh thấp
SDR 400 nit","Li-ion polymer 3 lõi, 59 Wh
Bộ chuyển đổi nguồn điện 65 W USB Type-C
Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút",Windows 11 Home Single Language + OFFICE,Bạc,25.990.000₫,,
Laptop HP 15-FD0235TU 9Q970PA,"Intel Core i5-1334U (tối đa 4.6 GHz với Công nghệ Intel Turbo Boost, bộ nhớ đệm L3 12 MB,10 lõi,12 luồng)",2 x 8 GB,Intel Iris Xe,512GB SSD M.2 PCIe Thế hệ 4 NVMeTM,15.6 inches,1920 x 1080 pixels (FullHD),"Độ phủ màu 62.5% sRGB
Độ sáng 250 nit","Pin Li-ion polymer 3 cell, công suất 41 Wh
Bộ chuyển đổi nguồn điện AC thông minh 45 W
Hỗ trợ sạc pin nhanh: khoảng 50% trong 45 phút",Windows 11 Home Single Language,Bạc,14.790.000₫,5 sao/ (2 đánh giá),"mẫu này có nâng cấp ram đc ko || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Nhân viên tư vấn nhiệt tình"
Laptop HP Victus 16-R0374TX AY8Y7PA,Intel Core i5-13500HX (14 lõi) - Max Turbo Frequency: 4.70 GHz,2 khe (2 x 8GB),"NVIDIA GeForce RTX 4050 (6GB of GDDR6 SDRAM, Bus Width: 96- bit)
Intel UHD Graphics",512GB SSD PCIe (M.2 2280),16.1 inches,1920 x 1080 pixels (FullHD),"Màn hình chống chói
100% sRGB",4 Cell Int (70.07Wh),Windows 11 Home Single Language 64-bit,Đen,23.690.000₫,,
Laptop HP Pavilion 15-EG3111TU 8U6L8PA,"Intel Core i5-1335U (up to 4.6 GHz with Intel Turbo Boost Technology,12 MB L3 cache,10 lõi,12 luồng)","2x8GB, nâng cấp tối đa 32GB",Intel Iris Xe Graphics,512 GB PCIe NVMe M.2 SSD,15.6 inches,1920 x 1080 pixels (FullHD),"Màn hình chống chói
Độ sáng 250 nits
Độ phủ màu 45% NTSC","3-cell, 41 Wh Li-ion",Windows 11 Home Single Language,Bạc,17.490.000₫,4.3 sao/ (9 đánh giá),"tư vấn nhiêt tình.chu đáo.nhưng nhiều chỗ mua máy tính phải kèm theo túi đựng thì hấp dẫn hơn || tư vấn nhiêt tình.chu đáo.nhưng nhiều chỗ mua máy tính phải kèm theo túi đựng thì hấp dẫn hơn || Thời lượng pin Cực khoẻ | Hiệu năng Mượt mà, đa nhiệm tốt | Chất lượng hiển thị của màn hình Siêu đẹp | Nhân viên nam tên Huy nhiệt tình chu đáo || Khi mở máy lên quạt tản nhiệt tự chạy có sao không ạ || Khi mở máy lên quạt tản nhiệt tự chạy có sao không ạ"
